Library,Version,Component,URL,License Type
D3,3.5,"CLMS-UI, History, UserGUI, SearchSubmit",https://github.com/d3/d3/releases/tag/v3.5.17,Custom
Dynamic Table,Original + own changes,"History, CLMS-UI",https://github.com/DavidDurman/DynamicTable,MIT
Jquery,2.2.0,"History, SearchSubmit",https://github.com/jquery/jquery,MIT
Jquery-UI,1.11.4,"History, SearchSubmit",https://github.com/jquery/jquery-ui,MIT
Zepto,1.2.0,CLMS-UI,https://github.com/madrobby/zepto,MIT
DataTables,1.10.13,"UserGUI, SearchSubmit",https://github.com/DataTables/DataTables,MIT
MultipleSelect,1.2.1,"UserGUI, SearchSubmit",https://github.com/wenzhixin/multiple-select,MIT
Spin.js,2.3.2,"UserGUI, CLMS-UI",https://github.com/fgnass/spin.js/,MIT
HideShowPassword,2.0.11,UserGUI,https://github.com/cloudfour/hideShowPassword,MIT
PHPMailer,5.2.22,UserGUI,https://github.com/PHPMailer/PHPMailer,LGPL-2.1
BlueImp,9.12.3,SearchSubmit,https://github.com/blueimp/jQuery-File-Upload,MIT
University-Domains-List,1.0.0,UserGUI,https://github.com/Hipo/university-domains-list,MIT
Split.js,1.0.6 + own changes,CLMS-UI,https://github.com/nathancahill/Split.js,MIT
Backbone,1.3.3,CLMS-UI,https://github.com/jashkenas/backbone,MIT
C3,0.4.11,CLMS-UI,https://github.com/c3js/c3,MIT
Colorbrewer.js,2,CLMS-UI,https://github.com/axismaps/colorbrewer/,Apache 2.0
NGL,0.10.0-dev.9,CLMS-UI,https://github.com/arose/ngl,MIT
rgbcolor,1,CLMS-UI,https://github.com/ariutta/rgb-color,???
Underscore,1.8.3,CLMS-UI,https://github.com/jashkenas/underscore,MIT
DynDIv,1.0rc1,CLMS-UI,https://github.com/Kaworru/dyndiv,MIT
